Point_ID,latitude,longitude,BUFF_DIST,REFERENCE_YEAR,LANDCOVER_CODE_1,LANDCOVER_CODE_2,LANDCOVER_CODE_3,LANDCOVER_PCT_1,LANDCOVER_PCT_2,LANDCOVER_PCT_3,VEGETATION_DENSITY,Shape_Area
CAVELL-1,52.68170144,-118.0401,150,2020,Tree Coniferous,,,100,0,0,Sparse,20344.56861
CAVELL-1,52.68170144,-118.0401,150,2020,Tree Coniferous,,,100,0,0,Open,6210.979977
CAVELL-1,52.68170144,-118.0401,150,2020,Tree Coniferous,,,100,0,0,Open,875.4255051
CAVELL-1,52.68170144,-118.0401,150,2020,Tree Coniferous,,,100,0,0,Open,1158.074355
CAVELL-1,52.68170144,-118.0401,150,2020,Tree Coniferous,,,100,0,0,Open,42082.23541
CAVELL-1,52.68170144,-118.0401,150,2020,Shrub Low,,,100,0,0,Open,13.98278724
CAVELL-10,52.68479671,-118.0347,150,2020,Tree Coniferous,,,100,0,0,Open,36960.17656
CAVELL-10,52.68479671,-118.0347,150,2020,Tree Coniferous,,,100,0,0,Sparse,33449.62374
CAVELL-10,52.68479671,-118.0347,150,2020,Tree Coniferous,,,100,0,0,Open,275.4954068
CAVELL-2,52.67939365,-118.0378,150,2020,Tree Coniferous,,,100,0,0,Sparse,33526.40559
CAVELL-2,52.67939365,-118.0378,150,2020,Tree Coniferous,,,100,0,0,Open,4783.49075
CAVELL-2,52.67939365,-118.0378,150,2020,Shrub Low,,,100,0,0,Open,32375.29008
CAVELL-3,52.67722693,-118.0337,150,2020,Tree Coniferous,,,100,0,0,Sparse,14402.17631
CAVELL-3,52.67722693,-118.0337,150,2020,Herbaceous Mixed,,,100,0,0,Sparse,12914.80378
CAVELL-3,52.67722693,-118.0337,150,2020,Shrub Low,,,100,0,0,Open,39555.08671
CAVELL-3,52.67722693,-118.0337,150,2020,Shrub Low,,,100,0,0,Open,3417.68812
CAVELL-4,52.67983697,-118.0333,150,2020,Tree Coniferous,,,100,0,0,Sparse,4579.469816
CAVELL-4,52.67983697,-118.0333,150,2020,Herbaceous Mixed,,,100,0,0,Sparse,17397.32006
CAVELL-4,52.67983697,-118.0333,150,2020,Shrub Low,,,100,0,0,Open,46820.70883
CAVELL-5,52.68107347,-118.0297,150,2020,Herbaceous Mixed,,,100,0,0,Sparse,922.494694
CAVELL-5,52.68107347,-118.0297,150,2020,Talus,,,100,0,0,,23125.6338
CAVELL-5,52.68107347,-118.0297,150,2020,Herbaceous Mixed,,,100,0,0,Sparse,44927.28076
CAVELL-5,52.68107347,-118.0297,150,2020,Shrub Low,,,100,0,0,Open,217.6600503
CAVELL-6,52.68294825,-118.026,150,2020,Talus,,,100,0,0,,20018.07286
CAVELL-6,52.68294825,-118.026,150,2020,Shrub Low,,,100,0,0,Sparse,30141.0537
CAVELL-6,52.68294825,-118.026,150,2020,Herbaceous Mixed,,,100,0,0,Sparse,2768.35672
CAVELL-6,52.68294825,-118.026,150,2020,Talus,,,100,0,0,,17757.85856
CAVELL-7,52.6847719,-118.0293,150,2020,Talus,,,100,0,0,,12013.35869
CAVELL-7,52.6847719,-118.0293,150,2020,Shrub Low,,,100,0,0,Sparse,41406.89019
CAVELL-7,52.6847719,-118.0293,150,2020,Tree Coniferous,,,100,0,0,Sparse,7023.70912
CAVELL-7,52.6847719,-118.0293,150,2020,Tree Coniferous,,,100,0,0,Sparse,10241.2353
CAVELL-8,52.68692387,-118.0258,150,2020,Tree Coniferous,,,100,0,0,Sparse,9382.349186
CAVELL-8,52.68692387,-118.0258,150,2020,Talus,,,100,0,0,,2839.990164
CAVELL-8,52.68692387,-118.0258,150,2020,Shrub Low,,,100,0,0,Sparse,49875.89571
CAVELL-8,52.68692387,-118.0258,150,2020,Tree Coniferous,,,100,0,0,Sparse,8587.059831
CAVELL-9,52.68743676,-118.0309,150,2020,Herbaceous Mixed,,,100,0,0,Sparse,1442.32203
CAVELL-9,52.68743676,-118.0309,150,2020,Tree Coniferous,,,100,0,0,Sparse,19524.48151
CAVELL-9,52.68743676,-118.0309,150,2020,Shrub Low,,,100,0,0,Sparse,29055.3622
CAVELL-9,52.68743676,-118.0309,150,2020,Tree Coniferous,,,100,0,0,Sparse,20662.97546
COTTONWOOD-1,52.89175898,-118.0925,150,2020,Shrub Low,,,100,0,0,Open,15501.23949
COTTONWOOD-1,52.89175898,-118.0925,150,2020,Treed Mixed,,,100,0,0,Open,1475.131379
COTTONWOOD-1,52.89175898,-118.0925,150,2020,Tree Coniferous,,,100,0,0,Sparse,1034.630956
COTTONWOOD-1,52.89175898,-118.0925,150,2020,Tree Coniferous,,,100,0,0,Open,12495.96014
COTTONWOOD-1,52.89175898,-118.0925,150,2020,Shrub Low,,,100,0,0,Open,40178.34764
COTTONWOOD-1,52.89175898,-118.0925,150,2020,Treed Mixed,,,100,0,0,Open,0.00043966
COTTONWOOD-10,52.89605303,-118.0943,150,2020,Tree Coniferous,,,100,0,0,Open,12.14486425
COTTONWOOD-10,52.89605303,-118.0943,150,2020,Shrub Low,,,100,0,0,Open,11374.60045
COTTONWOOD-10,52.89605303,-118.0943,150,2020,Tree Coniferous,,,100,0,0,Open,114.1182928
COTTONWOOD-10,52.89605303,-118.0943,150,2020,Treed Mixed,,,100,0,0,Open,46579.36721
COTTONWOOD-10,52.89605303,-118.0943,150,2020,Herbaceous Mixed,,,100,0,0,Dense,1195.992227
COTTONWOOD-10,52.89605303,-118.0943,150,2020,Shrub Low,,,100,0,0,Open,11408.91929
COTTONWOOD-2,52.89256096,-118.0968,150,2020,Shrub Low,,,100,0,0,Open,41195.69572
COTTONWOOD-2,52.89256096,-118.0968,150,2020,Treed Mixed,,,100,0,0,Open,19647.91422
COTTONWOOD-2,52.89256096,-118.0968,150,2020,Treed Broadleaf,,,100,0,0,Open,1464.723116
COTTONWOOD-2,52.89256096,-118.0968,150,2020,Tree Coniferous,,,100,0,0,Open,8376.997314
COTTONWOOD-3,52.89321198,-118.1013,150,2020,Shrub Low,,,100,0,0,Open,6642.007057
COTTONWOOD-3,52.89321198,-118.1013,150,2020,Shrub Low,,,100,0,0,Open,18960.99392
COTTONWOOD-3,52.89321198,-118.1013,150,2020,Lake,Herbaceous Forb,,90,10,0,Sparse,10704.02045
COTTONWOOD-3,52.89321198,-118.1013,150,2020,Tree Coniferous,,,100,0,0,Sparse,3384.567553
COTTONWOOD-3,52.89321198,-118.1013,150,2020,Herbaceous Mixed,,,100,0,0,Dense,134.2086681
COTTONWOOD-3,52.89321198,-118.1013,150,2020,Treed Mixed,,,100,0,0,Open,11525.1429
COTTONWOOD-3,52.89321198,-118.1013,150,2020,Treed Broadleaf,,,100,0,0,Open,19334.22251
COTTONWOOD-4,52.89238201,-118.1057,150,2020,Shrub Low,,,100,0,0,Open,861.5266733
COTTONWOOD-4,52.89238201,-118.1057,150,2020,Tree Coniferous,,,100,0,0,Sparse,19743.13977
COTTONWOOD-4,52.89238201,-118.1057,150,2020,Herbaceous Mixed,,,100,0,0,Dense,30374.91091
COTTONWOOD-4,52.89238201,-118.1057,150,2020,Treed Broadleaf,,,100,0,0,Open,1752.977957
COTTONWOOD-4,52.89238201,-118.1057,150,2020,Tree Coniferous,,,100,0,0,Open,15458.93876
COTTONWOOD-4,52.89238201,-118.1057,150,2020,Tree Coniferous,,,100,0,0,Open,2235.283892
COTTONWOOD-4,52.89238201,-118.1057,150,2020,Tree Coniferous,,,100,0,0,Sparse,258.3200747
COTTONWOOD-5,52.89257202,-118.1102,150,2020,Tree Coniferous,,,100,0,0,Sparse,8392.400046
COTTONWOOD-5,52.89257202,-118.1102,150,2020,Herbaceous Mixed,,,100,0,0,Dense,50531.33252
COTTONWOOD-5,52.89257202,-118.1102,150,2020,Tree Coniferous,,,100,0,0,Sparse,10154.53783
COTTONWOOD-5,52.89257202,-118.1102,150,2020,Tree Coniferous,,,100,0,0,Open,1567.012289
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Shrub Low,,,100,0,0,Open,2912.728366
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Tree Coniferous,,,100,0,0,Sparse,3705.128024
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Shrub Low,,,100,0,0,Open,23045.49043
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Treed Mixed,,,100,0,0,Sparse,13660.04927
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Tree Coniferous,,,100,0,0,Open,924.9883297
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Tree Coniferous,,,100,0,0,Open,21978.16122
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Tree Coniferous,,,100,0,0,Sparse,4304.661079
COTTONWOOD-6,52.89496397,-118.1122,150,2020,Herbaceous Mixed,,,100,0,0,Dense,114.2231666
COTTONWOOD-7,52.89576402,-118.1166,150,2020,Tree Coniferous,,,100,0,0,Sparse,13859.51601
COTTONWOOD-7,52.89576402,-118.1166,150,2020,Shrub Low,,,100,0,0,Open,24672.9754
COTTONWOOD-7,52.89576402,-118.1166,150,2020,Shrub Low,,,100,0,0,Open,18354.80644
COTTONWOOD-7,52.89576402,-118.1166,150,2020,Tree Coniferous,,,100,0,0,Sparse,46.69930822
COTTONWOOD-7,52.89576402,-118.1166,150,2020,Tree Coniferous,,,100,0,0,Open,13699.98713
COTTONWOOD-7,52.89576402,-118.1166,150,2020,Shrub Low,,,100,0,0,Open,51.33631982
COTTONWOOD-8,52.89501099,-118.1077,150,2020,Shrub Low,,,100,0,0,Open,12526.29216
COTTONWOOD-8,52.89501099,-118.1077,150,2020,Shrub Low,,,100,0,0,Open,17742.0851
COTTONWOOD-8,52.89501099,-118.1077,150,2020,Tree Coniferous,,,100,0,0,Open,16464.88755
COTTONWOOD-8,52.89501099,-118.1077,150,2020,Treed Mixed,,,100,0,0,Sparse,12737.41016
COTTONWOOD-8,52.89501099,-118.1077,150,2020,Tree Coniferous,,,100,0,0,Open,5285.992273
COTTONWOOD-8,52.89501099,-118.1077,150,2020,Tree Coniferous,,,100,0,0,Sparse,5928.472961
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Tree Coniferous,,,100,0,0,Open,14917.85449
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Shrub Low,,,100,0,0,Open,727.9613083
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Tree Coniferous,,,100,0,0,Open,58.13799606
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Tree Coniferous,,,100,0,0,Open,1102.468929
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Shrub Low,,,100,0,0,Open,15.92355502
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Treed Mixed,,,100,0,0,Open,1393.027565
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Herbaceous Mixed,,,100,0,0,Dense,14358.74038
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Treed Mixed,,,100,0,0,Open,13244.60695
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Shrub Low,,,100,0,0,Open,12909.83594
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Lake,Herbaceous Forb,,90,10,0,Sparse,9683.601654
COTTONWOOD-9,52.89550904,-118.0989,150,2020,Lake,Herbaceous Forb,,90,10,0,Sparse,2273.086979
ELYSIUM-1,52.88492396,-118.2618,150,2020,Tree Coniferous,,,100,0,0,Open,9261.581949
ELYSIUM-1,52.88492396,-118.2618,150,2022,Tree Coniferous,,,100,0,0,Sparse,43355.6905
ELYSIUM-1,52.88492396,-118.2618,150,2020,Shrub Low,,,100,0,0,Open,1565.105714
ELYSIUM-1,52.88492396,-118.2618,150,2020,Treed Broadleaf,,,100,0,0,Open,16503.19486
ELYSIUM-10,52.90203058,-118.2896,150,2020,Tree Coniferous,,,100,0,0,Open,2274.113225
ELYSIUM-10,52.90203058,-118.2896,150,2020,Tree Coniferous,,,100,0,0,Open,5166.100896
ELYSIUM-10,52.90203058,-118.2896,150,2020,Tree Coniferous,,,100,0,0,Open,984.5533826
ELYSIUM-10,52.90203058,-118.2896,150,2020,Tree Coniferous,,,100,0,0,Sparse,49571.14595
ELYSIUM-10,52.90203058,-118.2896,150,2020,Tree Coniferous,,,100,0,0,Open,8386.171616
ELYSIUM-10,52.90203058,-118.2896,150,2020,Tree Coniferous,,,100,0,0,Open,4303.088217
ELYSIUM-2,52.88633061,-118.2657,150,2020,Tree Coniferous,,,100,0,0,Open,631.8561966
ELYSIUM-2,52.88633061,-118.2657,150,2020,Tree Coniferous,,,100,0,0,Open,5017.615473
ELYSIUM-2,52.88633061,-118.2657,150,2020,Tree Coniferous,,,100,0,0,Sparse,15895.9335
ELYSIUM-2,52.88633061,-118.2657,150,2020,Tree Coniferous,,,100,0,0,Open,5902.296367
ELYSIUM-2,52.88633061,-118.2657,150,2022,Tree Coniferous,,,100,0,0,Sparse,12338.88116
ELYSIUM-2,52.88633061,-118.2657,150,2020,Shrub Low,,,100,0,0,Open,2227.182617
ELYSIUM-2,52.88633061,-118.2657,150,2020,Shrub Low,,,100,0,0,Open,28613.87358
ELYSIUM-3,52.8882395,-118.2688,150,2020,Tree Coniferous,,,100,0,0,Open,10244.64926
ELYSIUM-3,52.8882395,-118.2688,150,2020,Tree Coniferous,,,100,0,0,Sparse,17583.40682
ELYSIUM-3,52.8882395,-118.2688,150,2020,Tree Coniferous,,,100,0,0,Open,15873.44327
ELYSIUM-3,52.8882395,-118.2688,150,2020,Shrub Low,,,100,0,0,Open,23183.79696
ELYSIUM-3,52.8882395,-118.2688,150,2022,Tree Coniferous,,,100,0,0,Sparse,3742.249789
ELYSIUM-4,52.88988026,-118.2725,150,2020,Tree Coniferous,,,100,0,0,Sparse,5281.03057
ELYSIUM-4,52.88988026,-118.2725,150,2020,Tree Coniferous,,,100,0,0,Sparse,8589.863
ELYSIUM-4,52.88988026,-118.2725,150,2020,Tree Coniferous,,,100,0,0,Open,23676.13535
ELYSIUM-4,52.88988026,-118.2725,150,2020,Tree Coniferous,,,100,0,0,Sparse,27400.90612
ELYSIUM-4,52.88988026,-118.2725,150,2020,Tree Coniferous,,,100,0,0,Open,5394.65129
ELYSIUM-4,52.88988026,-118.2725,150,2020,Shrub Low,,,100,0,0,Open,342.6793858
ELYSIUM-5,52.8922199,-118.2749,150,2020,Shrub Low,,,100,0,0,Open,2951.278501
ELYSIUM-5,52.8922199,-118.2749,150,2020,Tree Coniferous,,,100,0,0,Sparse,9951.149012
ELYSIUM-5,52.8922199,-118.2749,150,2020,Tree Coniferous,,,100,0,0,Sparse,49459.97371
ELYSIUM-5,52.8922199,-118.2749,150,2020,Tree Coniferous,,,100,0,0,Sparse,8010.330688
ELYSIUM-5,52.8922199,-118.2749,150,2020,Tree Coniferous,,,100,0,0,Open,244.5219366
ELYSIUM-6,52.89418328,-118.2779,150,2020,Tree Coniferous,,,100,0,0,Sparse,7429.218643
ELYSIUM-6,52.89418328,-118.2779,150,2020,Shrub Low,,,100,0,0,Open,21844.24748
ELYSIUM-6,52.89418328,-118.2779,150,2020,Shrub Low,,,100,0,0,Open,947.4149714
ELYSIUM-6,52.89418328,-118.2779,150,2020,Tree Coniferous,,,100,0,0,Sparse,656.7892654
ELYSIUM-6,52.89418328,-118.2779,150,2020,Tree Coniferous,,,100,0,0,Open,12498.33257
ELYSIUM-6,52.89418328,-118.2779,150,2020,Tree Coniferous,,,100,0,0,Sparse,27241.29178
ELYSIUM-7,52.89613651,-118.281,150,2020,Tree Coniferous,,,100,0,0,Sparse,19434.28999
ELYSIUM-7,52.89613651,-118.281,150,2020,Shrub Low,,,100,0,0,Open,49190.15711
ELYSIUM-7,52.89613651,-118.281,150,2020,Shrub Low,,,100,0,0,Open,2060.795795
ELYSIUM-8,52.8973342,-118.285,150,2020,Tree Coniferous,,,100,0,0,Sparse,3273.995306
ELYSIUM-8,52.8973342,-118.285,150,2020,Shrub Low,,,100,0,0,Open,67367.43138
ELYSIUM-8,52.8973342,-118.285,150,2020,Treed Mixed,,,100,0,0,Sparse,43.9036854
ELYSIUM-9,52.89926799,-118.2882,150,2020,Tree Coniferous,,,100,0,0,Sparse,13092.92105
ELYSIUM-9,52.89926799,-118.2882,150,2020,Tree Coniferous,,,100,0,0,Open,33319.50848
ELYSIUM-9,52.89926799,-118.2882,150,2020,Tree Coniferous,,,100,0,0,Sparse,23605.6289
ELYSIUM-9,52.89926799,-118.2882,150,2020,Shrub Low,,,100,0,0,Open,667.2964738
FIDDLE-1,53.03090385,-117.5446,150,2020,Herbaceous Mixed,,,100,0,0,Dense,98.14835536
FIDDLE-1,53.03090385,-117.5446,150,2020,Tree Coniferous,Shrub Low,,90,10,0,Open,41101.70856
FIDDLE-1,53.03090385,-117.5446,150,2020,Tree Coniferous,,,100,0,0,Open,27221.56512
FIDDLE-1,53.03090385,-117.5446,150,2020,Exposed Soil,,,100,0,0,Sparse,776.0845089
FIDDLE-10,53.02978344,-117.5114,150,2020,Herbaceous Mixed,,,100,0,0,Dense,41177.33022
FIDDLE-10,53.02978344,-117.5114,150,2020,Shrub Low,,,100,0,0,Dense,15964.1558
FIDDLE-10,53.02978344,-117.5114,150,2020,Snow Cover,Herbaceous Mixed,,65,35,0,Sparse,10892.5539
FIDDLE-10,53.02978344,-117.5114,150,2020,Herbaceous Mixed,,,100,0,0,Open,1891.454675
FIDDLE-2,53.03337065,-117.5438,150,2020,Tree Coniferous,,,100,0,0,Open,27022.47334
FIDDLE-2,53.03337065,-117.5438,150,2020,Tree Coniferous,,,100,0,0,Open,7734.646467
FIDDLE-2,53.03337065,-117.5438,150,2020,Herbaceous Mixed,,,100,0,0,Dense,4955.728514
FIDDLE-2,53.03337065,-117.5438,150,2020,Tree Coniferous,,,100,0,0,Sparse,7026.773579
FIDDLE-2,53.03337065,-117.5438,150,2020,Tree Coniferous,Shrub Low,,90,10,0,Open,17324.5564
FIDDLE-3,53.03512565,-117.5414,150,2020,Tree Coniferous,,,100,0,0,Open,43447.35364
FIDDLE-3,53.03512565,-117.5414,150,2020,Tree Coniferous,,,100,0,0,Open,4591.341528
FIDDLE-3,53.03512565,-117.5414,150,2020,Tree Coniferous,,,100,0,0,Open,14549.88928
FIDDLE-3,53.03512565,-117.5414,150,2020,Herbaceous Mixed,,,100,0,0,Dense,2963.55169
FIDDLE-4,53.03482281,-117.5368,150,2020,Tree Coniferous,,,100,0,0,Open,25422.86643
FIDDLE-4,53.03482281,-117.5368,150,2020,Tree Coniferous,,,100,0,0,Sparse,4968.253148
FIDDLE-4,53.03482281,-117.5368,150,2020,Herbaceous Mixed,,,100,0,0,Dense,25018.58386
FIDDLE-4,53.03482281,-117.5368,150,2020,Talus,,,100,0,0,Sparse,13131.20806
FIDDLE-4,53.03482281,-117.5368,150,2020,Bedrock,,,100,0,0,,781.2442914
FIDDLE-5,53.03556888,-117.5328,150,2020,Tree Coniferous,,,100,0,0,Open,53.63783876
FIDDLE-5,53.03556888,-117.5328,150,2020,Tree Coniferous,,,100,0,0,Open,2037.712492
FIDDLE-5,53.03556888,-117.5328,150,2020,Tree Coniferous,,,100,0,0,Open,13570.35265
FIDDLE-5,53.03556888,-117.5328,150,2020,Tree Coniferous,,,100,0,0,Sparse,21.87408948
FIDDLE-5,53.03556888,-117.5328,150,2020,Tree Coniferous,,,100,0,0,Sparse,39798.55907
FIDDLE-5,53.03556888,-117.5328,150,2020,Herbaceous Mixed,,,100,0,0,Dense,7776.36144
FIDDLE-5,53.03556888,-117.5328,150,2020,Herbaceous Mixed,,,100,0,0,Open,1758.5298
FIDDLE-5,53.03556888,-117.5328,150,2020,Talus,,,100,0,0,Sparse,3248.48652
FIDDLE-6,53.03525498,-117.5286,150,2020,Tree Coniferous,,,100,0,0,Open,1295.148464
FIDDLE-6,53.03525498,-117.5286,150,2020,Tree Coniferous,,,100,0,0,Sparse,15630.2644
FIDDLE-6,53.03525498,-117.5286,150,2020,Tree Coniferous,,,100,0,0,Sparse,23684.18991
FIDDLE-6,53.03525498,-117.5286,150,2020,Herbaceous Mixed,,,100,0,0,Open,21896.9729
FIDDLE-6,53.03525498,-117.5286,150,2020,Shrub Tall,,,100,0,0,Open,327.0106489
FIDDLE-6,53.03525498,-117.5286,150,2020,Talus,,,100,0,0,Sparse,2421.977579
